comarca,sup_2008,quota_2008,sup_2024,quota_2024,delta_sup_ha,pct_change_sup,delta_quota_pp
ALT CAMP,6619.0,0.11310663021189336,6382.0,0.11813486848194288,-237.0,-3.5806012992899228,0.5028238270049514
ALT EMPORDÀ,1951.0,0.033339029391660974,1806.0,0.033430205653147735,-145.0,-7.43208610968734,0.009117626148676117
ALT PENEDÈS,17466.0,0.29846206425153793,17384.0,0.3217888677044962,-82.0,-0.4694835680751174,2.332680345295829
ALT URGELL,12.0,0.0002050580997949419,11.0,0.00020361697795383447,-1.0,-8.333333333333332,-0.00014411218411074364
ANOIA,2625.0,0.04485645933014354,2056.0,0.03805786424300761,-569.0,-21.676190476190477,-0.6798595087135928
BAGES,340.0,0.00580997949419002,425.0,0.007867019602761786,85.0,25.0,0.20570401085717657
BAIX CAMP,188.0,0.003212576896787423,213.0,0.003942765118560613,25.0,13.297872340425531,0.07301882217731898
BAIX EBRE,43.0,0.0007347915242652084,7.0,0.00012957444051607647,-36.0,-83.72093023255815,-0.0605217083749132
BAIX EMPORDÀ,275.0,0.004699248120300752,265.0,0.004905318105251467,-10.0,-3.6363636363636362,0.02060699849507153
BAIX LLOBREGAT,360.0,0.006151742993848257,254.0,0.0047017011272976325,-106.0,-29.444444444444446,-0.14500418665506246
BAIX PENEDÈS,3792.0,0.06479835953520165,3605.0,0.0667308368657794,-187.0,-4.931434599156118,0.19324773305777476
BARCELONÈS,4.0,6.83526999316473e-05,3.0,5.5531903078318493e-05,-1.0,-25.0,-0.00128207968533288
BERGUEDÀ,7.0,0.00011961722488038278,10.0,0.00018510634359439497,3.0,42.857142857142854,0.0065489118714012196
CERDANYA,,,10.0,0.00018510634359439497,,,
CONCA DE BARBERÀ,4426.0,0.07563226247436773,4001.0,0.07406104807211743,-425.0,-9.602349751468594,-0.15712144022503038
GARRAF,940.0,0.016062884483937116,864.0,0.015993188086555726,-76.0,-8.085106382978724,-0.006969639738138925
GARRIGUES,701.0,0.01197881066302119,598.0,0.01106935934694482,-103.0,-14.693295292439373,-0.09094513160763704
GARROTXA,15.0,0.0002563226247436774,3.0,5.5531903078318493e-05,-12.0,-80.0,-0.02007907216653589
GIRONÈS,41.0,0.0007006151742993848,39.0,0.0007219147400181404,-2.0,-4.878048780487805,0.00212995657187556
LA SELVA,9.0,0.0001537935748462064,34.0,0.0006293615682209429,25.0,277.77777777777777,0.04755679933747365
MARESME,234.0,0.003998632946001367,197.0,0.003646594968809581,-37.0,-15.81196581196581,-0.03520379771917857
MOIANÈS,,,13.0,0.00024063824667271347,,,
MONTSIÀ,8.0,0.0001367053998632946,7.0,0.00012957444051607647,-1.0,-12.5,-0.0007130959347218115
NOGUERA,383.0,0.006544771018455229,317.0,0.005867871091942321,-66.0,-17.232375979112273,-0.0676899926512908
OSONA,2.0,3.417634996582365e-05,9.0,0.00016659570923495547,7.0,350.0,0.013241935926913183
PALLARS JUSSÀ,216.0,0.003691045796308954,257.0,0.004757233030375951,41.0,18.98148148148148,0.10661872340669973
PALLARS SOBIRÀ,,,19.0,0.00035170205282935045,,,
PLA D'URGELL,1.0,1.7088174982911824e-05,,,,,
PLA DE L'ESTANY,1.0,1.7088174982911824e-05,3.0,5.5531903078318493e-05,2.0,200.0,0.003844372809540667
PRIORAT,3311.0,0.056578947368421055,3684.0,0.06819317698017512,373.0,11.265478707339174,1.161422961175406
RIBERA D'EBRE,1429.0,0.024419002050580996,976.0,0.01806637913481295,-453.0,-31.70048985304409,-0.6352622915768047
RIPOLLÈS,,,1.0,1.8510634359439497e-05,,,
SEGARRA,139.0,0.002375256322624744,67.0,0.0012402125020824465,-72.0,-51.798561151079134,-0.11350438205422973
SEGRIÀ,2261.0,0.038636363636363635,1886.0,0.034911056401902896,-375.0,-16.585581601061477,-0.37253072344607396
SOLSONÈS,,,25.0,0.00046276585898598745,,,
TARRAGONÈS,1610.0,0.02751196172248804,1262.0,0.023360420561612645,-348.0,-21.614906832298136,-0.41515411608753944
TERRA ALTA,7675.0,0.13115174299384827,5875.0,0.10874997686170705,-1800.0,-23.452768729641694,-2.2401766132141216
URGELL,1232.0,0.021052631578947368,1282.0,0.023730633248801435,50.0,4.058441558441558,0.26780016698540676
VALL D'ARAN,,,1.0,1.8510634359439497e-05,,,
VALLÈS OCCIDENTAL,46.0,0.0007860560492139439,28.0,0.0005182977620643059,-18.0,-39.130434782608695,-0.026775828714963805
VALLÈS ORIENTAL,158.0,0.002699931647300068,144.0,0.0026655313477592876,-14.0,-8.860759493670885,-0.0034400299540780603
