any,sup_total_cat_ha,prod_total_cat_t,precip_oct_mar_mm,precip_abr_jun_mm,tmax_mitjana_jun_aug,tmax_mitjana_jul_aug,rend_implicat_kg_ha,z_rend_implicat_kg_ha,z_precip_oct_mar_mm,z_precip_abr_jun_mm,z_tmax_mitjana_jun_aug,z_tmax_mitjana_jul_aug,index_doble_estres_1,index_doble_estres_2
2008,58520.0,411441.0,305.0571428571429,510.7647058823529,29.367142856285714,30.563571428571425,7030.7758031442245,-0.3005418396654496,-1.2666708105995876,2.291092359164457,-0.912802128919112,-0.7407671743719316,0.3538686816804756,-1.3389954259279566
2009,55341.0,439750.0,594.1514285714286,255.5735294117647,30.851904761714287,31.55642857142857,7946.188178746318,0.42481321243194153,0.9962327949659467,-0.2682282495137567,0.5807069777150895,0.27772027493403956,-0.41552581725085724,0.06521135359846947
2010,53333.0,437194.0,573.8195121951219,341.85897435897436,29.143902438048784,30.590853658536584,8197.438733992087,0.623899290408465,0.8370834476783542,0.5971312842153216,-1.137357726949117,-0.7127806619028441,-1.9744411746274713,-1.6421765603728185
2011,53311.0,451070.0,497.64878048780486,284.7435897435897,28.57073170821138,29.63841463414634,8461.105587964961,0.8328238032260434,0.24085228042033216,0.0243192342830861,-1.7139051865374215,-1.689806611254615,-1.9547574669577537,-1.8344416562477273
2012,52780.0,372183.0,459.75853658536585,223.7153846153846,30.34878048691057,30.965243902439024,7051.59151193634,-0.284047874827561,-0.05573597392975983,-0.5877346198330589,0.07461863894458197,-0.32872564724088,0.1303546128743418,0.19468179273326033
2013,52653.200000000004,499613.0,584.1487804878049,338.9179487179487,29.116666667642278,30.637804878048783,9488.749021901802,1.6471085741420182,0.9179364413811314,0.5676356424073632,-1.1647539518789136,-0.6646174108784574,-2.082690393260045,-1.6574717232729328
2014,52485.0,451859.17699999997,433.4789473684211,269.4138888888889,28.93421052596491,29.121052631578944,8609.301267028673,0.9502511915516219,-0.26144110243091034,-0.129422834172912,-1.3482850002983107,-2.2205241572314307,-1.0868438978674004,-1.5889726104629593
2015,52228.0,441312.0,499.4461538461539,163.25945945945946,30.913675213504273,31.541025641025637,8449.720456460136,0.8238024453375985,0.2549213328165293,-1.1940490594943363,0.642841338740889,0.2619197225476462,0.3879200059243597,0.9219443939831711
2016,52538.0,401634.899,311.12105263157895,258.3805555555556,30.36798245763158,31.578289473684208,7644.655278084434,0.18588437697150673,-1.2192051775155872,-0.24007649302177403,0.09393373453822454,0.3001455097606744,1.3131389120538117,0.9266804574181301
2017,52901.0,371661.27099999995,592.1025641025641,142.85945945945946,31.116666666410257,31.409615384615382,7025.600102077465,-0.30464296503471366,0.9801951801702992,-1.3986413229852843,0.8470286783914743,0.1271171501667149,-0.13316650177882483,0.6962959856865871
2018,53169.0,434970.35500000004,479.0076923076923,380.4108108108108,30.482478633418804,31.85448717948718,8180.901559179222,0.6107955531009599,0.0949379966072943,0.9837689058532652,0.2091044434497318,0.5834731756904592,0.11416644684243751,-0.1430646416601843
2019,53681.0,429816.005,553.6384615384616,203.82702702702701,30.99999999982906,32.0025641025641,8006.855405078147,0.47288474859353674,0.6791150112486173,-0.7871956049369534,0.7296746916393847,0.7353726596904345,0.050559680390767414,0.7865639725090776
2020,54095.0,311192.57,738.2205128205129,482.3405405405405,29.80940170905983,31.578205128205127,5752.704871060172,-1.3132605140401954,2.1239425640894374,2.0060254804819886,-0.4679377895979324,0.3000589869285955,-2.59188035368737,-2.1489234236203814
2021,53939.0,421312.539,365.1461538461539,234.78108108108108,30.252136753846155,30.94679487179487,7810.907488088396,0.3176194109985633,-0.7963203182474632,-0.47675639007714593,-0.0225944528670411,-0.3476509340236877,0.7737258653804221,0.45141566071694017
2022,54192.0,358281.304,365.9575,179.72105263157894,32.64583333416667,33.241875,6611.332004723945,-0.6329009887920475,-0.7899694554749123,-1.0289552061732061,2.385204149829404,2.0066759926092943,3.175173605304316,3.105402402043408
2023,53977.0,277222.788,248.2325,230.19210526315788,31.05750000058333,32.265,5135.942864553421,-1.801970792910029,-1.7114692571987282,-0.5227793778072504,0.7875134430540017,1.0045832603380158,2.49898270025273,2.013172669198998
2024,54023.0,246741.618,336.0075,298.6578947368421,30.689166666249996,32.365625,4567.3438720544955,-2.2525176314922697,-1.0244049539809923,0.16386625161018895,0.41701014074507753,1.107805864238001,1.4414150947260698,1.1926773536769408
