any,rend_implicat_kg_ha,z_rend_implicat_kg_ha,precip_oct_mar_mm,z_precip_oct_mar_mm,precip_abr_jun_mm,z_precip_abr_jun_mm,tmax_mitjana_jun_aug,z_tmax_mitjana_jun_aug,tmax_mitjana_jul_aug,z_tmax_mitjana_jul_aug,index_doble_estres_1,index_doble_estres_2,any_critic,tipus_any,etiqueta,comentari
2008,7030.7758031442245,-0.3005418396654496,305.0571428571429,-1.2666708105995876,510.7647058823529,2.291092359164457,29.367142856285714,-0.912802128919112,30.563571428571425,-0.7407671743719316,0.3538686816804756,-1.3389954259279566,0,normal,,
2009,7946.188178746318,0.42481321243194153,594.1514285714286,0.9962327949659467,255.5735294117647,-0.2682282495137567,30.851904761714287,0.5807069777150895,31.55642857142857,0.27772027493403956,-0.41552581725085724,0.06521135359846947,0,normal,,
2010,8197.438733992087,0.623899290408465,573.8195121951219,0.8370834476783542,341.85897435897436,0.5971312842153216,29.143902438048784,-1.137357726949117,30.590853658536584,-0.7127806619028441,-1.9744411746274713,-1.6421765603728185,0,normal,,
2011,8461.105587964961,0.8328238032260434,497.64878048780486,0.24085228042033216,284.7435897435897,0.0243192342830861,28.57073170821138,-1.7139051865374215,29.63841463414634,-1.689806611254615,-1.9547574669577537,-1.8344416562477273,0,normal,,
2012,7051.59151193634,-0.284047874827561,459.75853658536585,-0.05573597392975983,223.7153846153846,-0.5877346198330589,30.34878048691057,0.07461863894458197,30.965243902439024,-0.32872564724088,0.1303546128743418,0.19468179273326033,0,normal,,
2013,9488.749021901802,1.6471085741420182,584.1487804878049,0.9179364413811314,338.9179487179487,0.5676356424073632,29.116666667642278,-1.1647539518789136,30.637804878048783,-0.6646174108784574,-2.082690393260045,-1.6574717232729328,0,normal,,
2014,8609.301267028673,0.9502511915516219,433.4789473684211,-0.26144110243091034,269.4138888888889,-0.129422834172912,28.93421052596491,-1.3482850002983107,29.121052631578944,-2.2205241572314307,-1.0868438978674004,-1.5889726104629593,0,normal,,
2015,8449.720456460136,0.8238024453375985,499.4461538461539,0.2549213328165293,163.25945945945946,-1.1940490594943363,30.913675213504273,0.642841338740889,31.541025641025637,0.2619197225476462,0.3879200059243597,0.9219443939831711,0,normal,,
2016,7644.655278084434,0.18588437697150673,311.12105263157895,-1.2192051775155872,258.3805555555556,-0.24007649302177403,30.36798245763158,0.09393373453822454,31.578289473684208,0.3001455097606744,1.3131389120538117,0.9266804574181301,0,normal,,
2017,7025.600102077465,-0.30464296503471366,592.1025641025641,0.9801951801702992,142.85945945945946,-1.3986413229852843,31.116666666410257,0.8470286783914743,31.409615384615382,0.1271171501667149,-0.13316650177882483,0.6962959856865871,0,normal,,
2018,8180.901559179222,0.6107955531009599,479.0076923076923,0.0949379966072943,380.4108108108108,0.9837689058532652,30.482478633418804,0.2091044434497318,31.85448717948718,0.5834731756904592,0.11416644684243751,-0.1430646416601843,0,normal,,
2019,8006.855405078147,0.47288474859353674,553.6384615384616,0.6791150112486173,203.82702702702701,-0.7871956049369534,30.99999999982906,0.7296746916393847,32.0025641025641,0.7353726596904345,0.050559680390767414,0.7865639725090776,0,normal,,
2020,5752.704871060172,-1.3132605140401954,738.2205128205129,2.1239425640894374,482.3405405405405,2.0060254804819886,29.80940170905983,-0.4679377895979324,31.578205128205127,0.3000589869285955,-2.59188035368737,-2.1489234236203814,1,critic_sanitari,2020 (míldiu),"Baix rendiment, però interpretat com a excepció sanitària."
2021,7810.907488088396,0.3176194109985633,365.1461538461539,-0.7963203182474632,234.78108108108108,-0.47675639007714593,30.252136753846155,-0.0225944528670411,30.94679487179487,-0.3476509340236877,0.7737258653804221,0.45141566071694017,0,normal,,
2022,6611.332004723945,-0.6329009887920475,365.9575,-0.7899694554749123,179.72105263157894,-1.0289552061732061,32.64583333416667,2.385204149829404,33.241875,2.0066759926092943,3.175173605304316,3.105402402043408,1,critic_climatic,2022,"Any càlid i sec, coherent amb estrès climàtic."
2023,5135.942864553421,-1.801970792910029,248.2325,-1.7114692571987282,230.19210526315788,-0.5227793778072504,31.05750000058333,0.7875134430540017,32.265,1.0045832603380158,2.49898270025273,2.013172669198998,1,critic_climatic,2023,Rendiment molt baix en context de fort estrès climàtic.
2024,4567.3438720544955,-2.2525176314922697,336.0075,-1.0244049539809923,298.6578947368421,0.16386625161018895,30.689166666249996,0.41701014074507753,32.365625,1.107805864238001,1.4414150947260698,1.1926773536769408,1,critic_climatic,2024,"Pitjor rendiment del període; lectura compatible amb estrès, però no com a prova causal."
